ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"72421","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72427","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72437","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72438","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72442","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72447","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72450","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72467","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72472","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72476","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72479","METRO27860MM3700","Jonesboro, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72324","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72354","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72365","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72377","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72386","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72419","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72421","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72429","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72432","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72472","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72475","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"72479","METRO27860N05111","Poinsett County, AR HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64748","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64755","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64801","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64802","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64803","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64804","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64830","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64832","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64833","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64834","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64835","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64836","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64840","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64841","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64842","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64843","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64844","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64848","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64849","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64850","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64855","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64857","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64858","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64859","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64861","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64862","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64864","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64865","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64866","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64867","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
"64870","METRO27900M27900","Joplin, MO MSA","","","","","","","","","","","","","","",""
